Student_ID,Round,Category,Difficulty_Level,Keywords,Correctness
661e3d0b1741a36959ce1624,2,Organic,Easy," ethanol,ethanal",1
661e3d0b1741a36959ce1624,2,Organic,Hard,"molecular formula, enantiomerism, diastereomerism, reaction products, HBr, aqueous KOH, Tollen's reagent",0
661e3d0b1741a36959ce1624,2,Inorganic,Easy,"distinguish, Mg(NO3)2, Ba(NO3)2, chemical tests",1
661e3d0b1741a36959ce1624,2,Inorganic,Easy," react,aqueous KOH, Fe, Mg, Al, Si",1
661e3d0b1741a36959ce1624,2,Inorganic,Medium," Li, Na, K ,Mg,excess oxygen ",0
661e3d0b1741a36959ce1624,2,Physical,Medium,"concentration, gas, pressure, ideal behavior",1
661e3d0b1741a36959ce1624,2,Physical,Easy,"ideal gas, relative molecular mass, temperature, pressure, density",0
661e3d0b1741a36959ce1624,2,Physical,Hard,"elementary reaction, initial partial pressures, partial pressure of products, rate of reaction, constant temperature",0
661e3d581741a36959ce162a,2,Organic,Medium,"ethanal, properties, statements, appropriateness
",1
661e3d581741a36959ce162a,2,Organic,Medium,"2,4-dinitrophenol, hydroiodic acid, sodium bicarbonate, sodium ethoxide, hydrobromic acid",0
661e3d581741a36959ce162a,2,Organic,Easy,"ammoniacal silver nitrate, aldehydes, ketones, distinction",1
661e3d581741a36959ce162a,2,Inorganic,Medium,X block elements,0
661e3d581741a36959ce162a,2,Inorganic,Medium,"Hybridization, sp³, Compounds",1
661e3d581741a36959ce162a,2,Inorganic,Easy,"NO2, heating, identification",1
661e3d581741a36959ce162a,2,Physical,Medium,"gas, volume, temperature, pressure, calculation",1
661e3d581741a36959ce162a,2,Physical,Medium,"mixture, gases, moles, pressure, temperature, partial pressure, calculation",1
661e3d581741a36959ce162a,2,Physical,Hard,"enthalpy change, heating, water, steam, specific heat, vaporization, calculation",1
661e3da01741a36959ce1630,2,Organic,Easy,ethanal,1
661e3da01741a36959ce1630,2,Organic,Easy,"increasing,acid",1
661e3da01741a36959ce1630,2,Organic,Easy,"(CH3)2CHCH2OH , (CH3)2CHCHO",1
661e3da01741a36959ce1630,2,Inorganic,Easy,"Transition metals, Color, Electronic transitions",0
661e3da01741a36959ce1630,2,Inorganic,Medium," Li, Na, K ,Mg,excess oxygen ",1
661e3da01741a36959ce1630,2,Inorganic,Hard,"Transition metal ions, Oxidation state, Highest",1
661e3da01741a36959ce1630,2,Physical,Easy,"volume, ideal gas, STP, calculation",0
661e3da01741a36959ce1630,2,Physical,Easy,"density, gas, temperature, pressure, molar mass, calculation",0
661e3da01741a36959ce1630,2,Physical,Hard," enthalpy change, reaction, carbon, oxygen, carbon dioxide, enthalpy of formation, calculation",0
661e3dc01741a36959ce1634,2,Organic,Hard,"CH3OH, (CH3)2CHOH, comparison, appropriateness",0
661e3dc01741a36959ce1634,2,Organic,Hard," acidic strength, carboxylic acids, comparison",0
661e3dc01741a36959ce1634,2,Organic,Easy,acid,1
661e3dc01741a36959ce1634,2,Inorganic,Easy,"NO2, heating, identification",1
661e3dc01741a36959ce1634,2,Inorganic,Easy,"s-block elements, Group I, Group II, periodic table, properties",1
661e3dc01741a36959ce1634,2,Inorganic,Hard," heating, NO2, decomposition, compound",0
661e3dc01741a36959ce1634,2,Physical,Hard,"Gibbs-Duhem equation, thermodynamics, properties",0
661e3dc01741a36959ce1634,2,Physical,Hard,"elementary reaction, initial partial pressures, partial pressure of products, rate of reaction, constant temperature",0
661e3dc01741a36959ce1634,2,Physical,Hard,"sodium amalgam, water reaction, gas volume, ideal behavior, mole fraction, relative molar masses",0
660e224f2577d04ccfbecc71,3,Organic,Medium,"organic compounds, C, H, O, reaction with Na, reaction with NaOH, reaction with NaHCO3, liberation of CO2, formation of H2 gas",1
660e224f2577d04ccfbecc71,3,Organic,Hard,"CH3CH2COCH3, C6H5CHO, aqueous NaOH",0
660e224f2577d04ccfbecc71,3,Organic,Medium,C6H5NH2,1
660e224f2577d04ccfbecc71,3,Inorganic,Medium," heating, NO2, decomposition, compound",0
660e224f2577d04ccfbecc71,3,Inorganic,Easy,"distinguish, Mg(NO3)2, Ba(NO3)2, chemical tests",1
660e224f2577d04ccfbecc71,3,Inorganic,Easy," react,aqueous KOH, Fe, Mg, Al, Si",1
660e224f2577d04ccfbecc71,3,Physical,Medium,"concentration, gas, pressure, ideal behavior",1
660e224f2577d04ccfbecc71,3,Physical,Medium,"temperature, rate constant, Arrhenius equation, activation energy, frequency factor",1
660e224f2577d04ccfbecc71,3,Physical,Hard,"oxygen collection, downward displacement of water, temperature, pressure, drying, saturated vapor pressure",1
